Title,Company,Location,Link
Software Engineer - Early Career (2025),Figma,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-early-career-2025-at-figma-4002140721?position=1&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=mjIt5UuD2rTx%2FobImGSijg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Early Career (2025),Figma,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-early-career-2025-at-figma-4002140722?position=2&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=Ty0StbRTKfxuWG5EmtjJmQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, New Grad",Stripe,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-stripe-4008211698?position=3&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=dshOIxCSrpmk2n%2FLQ9%2FEgw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Early Career (2025),Figma,United States,https://www.linkedin.com/jobs/view/software-engineer-early-career-2025-at-figma-4002143171?position=4&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=s9r2pLv%2BJp3HcRZGqfB97g%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, New Grad",Stripe,"Seattle, WA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-stripe-4008209636?position=5&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=Fk5H%2Fh4Jz5uLBXaWDcrZwQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer I,The Walt Disney Company,"Glendale, CA",https://www.linkedin.com/jobs/view/software-engineer-i-at-the-walt-disney-company-4012139068?position=6&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=LE7RlNhfq0lkPXd%2Fx%2BRMsg%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Intern",Duolingo,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/software-engineer-intern-at-duolingo-4016219445?position=7&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=W8I2djOLCVg7H10u1SMasg%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, New Grad (2025 Start)",Zip,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-2025-start-at-zip-4014022459?position=8&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=OpN0Cvmv7fEhb1L2o4OvGQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - New Graduate,Gecko Robotics,"Boston, MA",https://www.linkedin.com/jobs/view/software-engineer-new-graduate-at-gecko-robotics-4004965631?position=9&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=aEZnAiArpQRhQI80FRklBw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer (C++) – 2025 Grads,Hudson River Trading,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-c%2B%2B-%E2%80%93-2025-grads-at-hudson-river-trading-4002177189?position=10&pageNum=0&refId=obaDPtHWsE8p67rqwRRGcw%3D%3D&trackingId=dhQYb0SipFRfmwneHLU%2BFQ%3D%3D&trk=public_jobs_jserp-result_search-card
